#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS: 200  40
# Band-Index    1
   0.46010     -9.875501  0.282  0.446  0.000  0.726
   0.44526    -10.006301  0.286  0.440  0.000  0.726
   0.43042    -10.136609  0.288  0.434  0.000  0.724
   0.41558    -10.266388  0.292  0.430  0.000  0.722
   0.40074    -10.395607  0.296  0.424  0.000  0.720
   0.38589    -10.524224  0.300  0.420  0.000  0.720
   0.37105    -10.652206  0.304  0.414  0.000  0.718
   0.35621    -10.779511  0.306  0.410  0.000  0.716
   0.34137    -10.906102  0.310  0.404  0.000  0.714
   0.32653    -11.031932  0.314  0.400  0.000  0.714
   0.31168    -11.156962  0.316  0.396  0.000  0.712
   0.29684    -11.281135  0.320  0.392  0.000  0.710
   0.28200    -11.404391  0.322  0.386  0.000  0.708
   0.26716    -11.526674  0.324  0.382  0.000  0.708
   0.25232    -11.647911  0.326  0.378  0.000  0.706
   0.23747    -11.768009  0.328  0.376  0.000  0.704
   0.22263    -11.886882  0.330  0.372  0.000  0.702
   0.20779    -12.004400  0.332  0.368  0.000  0.700
   0.19295    -12.120409  0.332  0.366  0.000  0.698
   0.17811    -12.234739  0.332  0.364  0.000  0.696
   0.16326    -12.347128  0.332  0.362  0.000  0.694
   0.14842    -12.457303  0.332  0.360  0.000  0.692
   0.13358    -12.564825  0.330  0.360  0.000  0.690
   0.11874    -12.669176  0.328  0.360  0.000  0.688
   0.10389    -12.769588  0.324  0.362  0.000  0.684
   0.08905    -12.865001  0.318  0.364  0.000  0.682
   0.07421    -12.953940  0.312  0.368  0.000  0.678
   0.05937    -13.034336  0.304  0.372  0.000  0.676
   0.04453    -13.103329  0.294  0.378  0.000  0.672
   0.02968    -13.157246  0.284  0.384  0.000  0.668
   0.01484    -13.191978  0.278  0.388  0.000  0.666
   0.00000    -13.204028  0.276  0.390  0.000  0.666
 
# Band-Index    3
   0.00000     -6.395940  0.000  0.782  0.000  0.782
   0.01484     -6.395342  0.000  0.782  0.000  0.782
   0.02968     -6.393550  0.000  0.782  0.000  0.782
   0.04453     -6.390563  0.000  0.782  0.000  0.782
   0.05937     -6.386380  0.000  0.782  0.000  0.782
   0.07421     -6.381004  0.000  0.782  0.000  0.782
   0.08905     -6.374439  0.000  0.782  0.000  0.782
   0.10389     -6.366683  0.000  0.782  0.000  0.782
